carnet,nombre,carrera,departamento,promedio
EST000067,Estudiante 67,Ingeniería en Sistemas,Santa Ana,8.41
EST000068,Estudiante 68,Contaduría,Santa Ana,6.88
EST000069,Estudiante 69,Ingeniería Industrial,La Libertad,6.12
EST000070,Estudiante 70,Ingeniería en Sistemas,Sonsonate,7.91
EST000071,Estudiante 71,Administración,La Libertad,7.59
EST000072,Estudiante 72,Contaduría,La Libertad,7.9
EST000073,Estudiante 73,Contaduría,San Miguel,6.75
EST000074,Estudiante 74,Ingeniería en Sistemas,La Libertad,7.84
EST000075,Estudiante 75,Ingeniería Industrial,San Miguel,7.99
EST000076,Estudiante 76,Administración,San Salvador,8.3
EST000077,Estudiante 77,Contaduría,San Salvador,7.42
EST000078,Estudiante 78,Contaduría,Sonsonate,7.62
EST000079,Estudiante 79,Administración,Sonsonate,9.24
EST000080,Estudiante 80,Administración,San Salvador,8.7
EST000081,Estudiante 81,Ingeniería en Sistemas,Sonsonate,9.34
EST000082,Estudiante 82,Arquitectura,La Libertad,9.43
EST000083,Estudiante 83,Contaduría,La Libertad,5.68
EST000084,Estudiante 84,Ingeniería Industrial,Santa Ana,5.26
EST000085,Estudiante 85,Administración,San Miguel,7.47
EST000086,Estudiante 86,Ingeniería en Sistemas,San Salvador,9.28
EST000087,Estudiante 87,Ingeniería Industrial,San Salvador,9.9
EST000088,Estudiante 88,Arquitectura,La Libertad,7.48
EST000089,Estudiante 89,Ingeniería Industrial,Santa Ana,7.75
EST000090,Estudiante 90,Contaduría,La Libertad,5.49
EST000091,Estudiante 91,Administración,San Miguel,5.88
EST000092,Estudiante 92,Ingeniería Industrial,San Miguel,8.42
EST000093,Estudiante 93,Ingeniería en Sistemas,San Salvador,5.02
EST000094,Estudiante 94,Ingeniería Industrial,San Miguel,6.47
EST000095,Estudiante 95,Ingeniería en Sistemas,Sonsonate,9.4
EST000096,Estudiante 96,Ingeniería en Sistemas,San Salvador,5.81
EST000097,Estudiante 97,Arquitectura,Santa Ana,6.95
EST000098,Estudiante 98,Administración,Sonsonate,8.83
EST000099,Estudiante 99,Arquitectura,Santa Ana,6.26
EST000100,Estudiante 100,Contaduría,Sonsonate,6.99
EST000101,Estudiante 101,Arquitectura,San Salvador,9.03
EST000102,Estudiante 102,Administración,San Salvador,6.83
EST000103,Estudiante 103,Administración,La Libertad,6.41
EST000104,Estudiante 104,Ingeniería Industrial,La Libertad,8.03
EST000105,Estudiante 105,Contaduría,Sonsonate,9.26
EST000106,Estudiante 106,Ingeniería en Sistemas,Santa Ana,8.73
EST000107,Estudiante 107,Ingeniería en Sistemas,Sonsonate,9.31
EST000108,Estudiante 108,Arquitectura,Sonsonate,7.78
EST000109,Estudiante 109,Arquitectura,San Salvador,8.09
EST000110,Estudiante 110,Ingeniería Industrial,Sonsonate,8.97
EST000111,Estudiante 111,Administración,La Libertad,5.42
EST000112,Estudiante 112,Ingeniería Industrial,San Salvador,6.35
EST000113,Estudiante 113,Contaduría,Santa Ana,6.42
EST000114,Estudiante 114,Contaduría,San Salvador,7.91
EST000115,Estudiante 115,Administración,Sonsonate,9.43
EST000116,Estudiante 116,Arquitectura,Santa Ana,6.66
EST000117,Estudiante 117,Arquitectura,San Miguel,6.04
EST000118,Estudiante 118,Contaduría,San Miguel,9.24
EST000119,Estudiante 119,Arquitectura,Sonsonate,8.51
EST000120,Estudiante 120,Administración,Sonsonate,5.72
EST000121,Estudiante 121,Contaduría,San Salvador,6.57
EST000122,Estudiante 122,Arquitectura,San Salvador,9.42
EST000123,Estudiante 123,Arquitectura,San Salvador,5.19
EST000124,Estudiante 124,Arquitectura,La Libertad,9.02
EST000125,Estudiante 125,Ingeniería en Sistemas,San Miguel,8.05
EST000126,Estudiante 126,Ingeniería Industrial,San Miguel,6.16
EST000127,Estudiante 127,Contaduría,La Libertad,8.51
EST000128,Estudiante 128,Administración,San Salvador,8.9
EST000129,Estudiante 129,Ingeniería en Sistemas,Sonsonate,7.05
EST000130,Estudiante 130,Arquitectura,Sonsonate,5.95
EST000131,Estudiante 131,Ingeniería Industrial,San Salvador,8.39
EST000132,Estudiante 132,Contaduría,San Miguel,6.76
EST000133,Estudiante 133,Administración,San Salvador,8.68
EST000134,Estudiante 134,Arquitectura,Sonsonate,7.92
EST000135,Estudiante 135,Ingeniería en Sistemas,Sonsonate,7.54
EST000136,Estudiante 136,Contaduría,San Salvador,8.02
EST000137,Estudiante 137,Ingeniería Industrial,Sonsonate,8.74
EST000138,Estudiante 138,Arquitectura,San Miguel,8.19
EST000139,Estudiante 139,Ingeniería Industrial,San Miguel,9.43
EST000140,Estudiante 140,Ingeniería en Sistemas,San Salvador,7.06
EST000141,Estudiante 141,Arquitectura,La Libertad,5.11
EST000142,Estudiante 142,Arquitectura,San Miguel,6.09
EST000143,Estudiante 143,Administración,La Libertad,9.66
EST000144,Estudiante 144,Contaduría,Sonsonate,8.15
EST000145,Estudiante 145,Contaduría,Sonsonate,5.64
EST000146,Estudiante 146,Ingeniería en Sistemas,La Libertad,5.38
EST000147,Estudiante 147,Ingeniería Industrial,La Libertad,6.86
EST000148,Estudiante 148,Administración,La Libertad,8.21
EST000149,Estudiante 149,Administración,San Miguel,5.55
EST000150,Estudiante 150,Arquitectura,San Salvador,5.89
EST000151,Estudiante 151,Contaduría,San Salvador,9.66
EST000152,Estudiante 152,Administración,Sonsonate,7.79
EST000153,Estudiante 153,Contaduría,San Miguel,5.57
EST000154,Estudiante 154,Arquitectura,San Salvador,5.65
EST000155,Estudiante 155,Contaduría,Sonsonate,7.29
EST000156,Estudiante 156,Ingeniería en Sistemas,Sonsonate,9.19
EST000157,Estudiante 157,Ingeniería en Sistemas,San Salvador,9.21
EST000158,Estudiante 158,Ingeniería Industrial,Santa Ana,5.13
EST000159,Estudiante 159,Contaduría,San Miguel,5.0
EST000160,Estudiante 160,Ingeniería Industrial,San Salvador,7.99
EST000161,Estudiante 161,Ingeniería Industrial,San Miguel,8.33
EST000162,Estudiante 162,Ingeniería Industrial,Sonsonate,5.82
EST000163,Estudiante 163,Ingeniería Industrial,La Libertad,6.96
EST000164,Estudiante 164,Ingeniería Industrial,Sonsonate,6.52
EST000165,Estudiante 165,Arquitectura,La Libertad,6.81
EST000166,Estudiante 166,Ingeniería en Sistemas,San Salvador,5.53
EST000167,Estudiante 167,Contaduría,La Libertad,7.78
EST000168,Estudiante 168,Ingeniería en Sistemas,Sonsonate,7.82
EST000169,Estudiante 169,Arquitectura,San Miguel,7.91
EST000170,Estudiante 170,Ingeniería en Sistemas,La Libertad,5.13
EST000171,Estudiante 171,Ingeniería Industrial,Santa Ana,8.58
EST000172,Estudiante 172,Ingeniería Industrial,San Miguel,7.08
EST000173,Estudiante 173,Arquitectura,Sonsonate,6.47
EST000174,Estudiante 174,Administración,La Libertad,6.14
EST000175,Estudiante 175,Contaduría,San Salvador,5.47
EST000176,Estudiante 176,Ingeniería Industrial,Santa Ana,7.83
EST000177,Estudiante 177,Administración,San Miguel,5.17
EST000178,Estudiante 178,Contaduría,San Salvador,7.68
EST000179,Estudiante 179,Arquitectura,Sonsonate,7.56
EST000180,Estudiante 180,Ingeniería Industrial,San Miguel,7.76
EST000181,Estudiante 181,Ingeniería en Sistemas,La Libertad,9.94
EST000182,Estudiante 182,Administración,Santa Ana,6.01
EST000183,Estudiante 183,Arquitectura,Santa Ana,5.48
EST000184,Estudiante 184,Ingeniería en Sistemas,San Salvador,6.22
EST000185,Estudiante 185,Administración,La Libertad,8.25
EST000186,Estudiante 186,Administración,Santa Ana,5.85
EST000187,Estudiante 187,Contaduría,Santa Ana,9.26
EST000188,Estudiante 188,Ingeniería Industrial,La Libertad,9.21
EST000189,Estudiante 189,Contaduría,Santa Ana,5.63
EST000190,Estudiante 190,Arquitectura,San Miguel,5.44
EST000191,Estudiante 191,Ingeniería en Sistemas,Sonsonate,6.81
EST000192,Estudiante 192,Arquitectura,Sonsonate,7.4
EST000193,Estudiante 193,Ingeniería en Sistemas,San Salvador,6.55
EST000194,Estudiante 194,Ingeniería Industrial,La Libertad,5.11
EST000195,Estudiante 195,Contaduría,La Libertad,9.69
EST000196,Estudiante 196,Ingeniería Industrial,San Miguel,9.57
EST000197,Estudiante 197,Ingeniería en Sistemas,La Libertad,6.81
EST000198,Estudiante 198,Contaduría,Santa Ana,9.3
EST000199,Estudiante 199,Ingeniería en Sistemas,San Miguel,5.23
EST000200,Estudiante 200,Arquitectura,Santa Ana,7.63
EST000201,Estudiante 201,Administración,Santa Ana,9.0
EST000202,Estudiante 202,Contaduría,San Miguel,5.75
EST000203,Estudiante 203,Contaduría,San Salvador,7.88
EST000204,Estudiante 204,Contaduría,Santa Ana,7.32
EST000205,Estudiante 205,Arquitectura,San Miguel,6.11
EST000206,Estudiante 206,Ingeniería en Sistemas,Sonsonate,6.71
EST000207,Estudiante 207,Administración,La Libertad,6.34
EST000208,Estudiante 208,Ingeniería Industrial,Santa Ana,9.93
EST000209,Estudiante 209,Administración,Santa Ana,7.76
EST000210,Estudiante 210,Ingeniería Industrial,La Libertad,5.17
EST000211,Estudiante 211,Ingeniería Industrial,Santa Ana,5.66
EST000212,Estudiante 212,Contaduría,La Libertad,5.87
EST000213,Estudiante 213,Administración,San Miguel,7.53
EST000214,Estudiante 214,Ingeniería en Sistemas,Santa Ana,6.54
EST000215,Estudiante 215,Ingeniería en Sistemas,San Salvador,8.76
EST000216,Estudiante 216,Administración,La Libertad,7.22
EST000217,Estudiante 217,Administración,La Libertad,5.23
EST000218,Estudiante 218,Ingeniería en Sistemas,San Miguel,5.41
EST000219,Estudiante 219,Administración,San Miguel,9.11
EST000220,Estudiante 220,Ingeniería en Sistemas,Santa Ana,7.93
EST000221,Estudiante 221,Ingeniería en Sistemas,San Salvador,6.8
EST000222,Estudiante 222,Administración,Sonsonate,7.03
EST000223,Estudiante 223,Arquitectura,San Miguel,5.65
EST000224,Estudiante 224,Contaduría,La Libertad,7.81
EST000225,Estudiante 225,Ingeniería Industrial,Sonsonate,9.23
EST000226,Estudiante 226,Ingeniería Industrial,San Miguel,7.14
EST000227,Estudiante 227,Ingeniería en Sistemas,San Miguel,7.11
EST000228,Estudiante 228,Administración,Santa Ana,5.52
EST000229,Estudiante 229,Administración,Santa Ana,9.26
EST000230,Estudiante 230,Contaduría,La Libertad,9.92
EST000231,Estudiante 231,Administración,San Miguel,8.02
EST000232,Estudiante 232,Arquitectura,La Libertad,9.0
EST000233,Estudiante 233,Administración,La Libertad,9.99
EST000234,Estudiante 234,Ingeniería Industrial,San Miguel,7.95
EST000235,Estudiante 235,Ingeniería Industrial,San Miguel,6.8
EST000236,Estudiante 236,Contaduría,Santa Ana,6.01
EST000237,Estudiante 237,Ingeniería Industrial,Sonsonate,8.26
EST000238,Estudiante 238,Contaduría,Sonsonate,6.12
EST000239,Estudiante 239,Arquitectura,San Miguel,6.53
EST000240,Estudiante 240,Ingeniería Industrial,La Libertad,8.14
EST000241,Estudiante 241,Arquitectura,Sonsonate,6.45
EST000242,Estudiante 242,Contaduría,Sonsonate,9.93
EST000243,Estudiante 243,Contaduría,San Miguel,9.96
EST000244,Estudiante 244,Administración,San Salvador,6.6
EST000245,Estudiante 245,Ingeniería Industrial,Santa Ana,9.15
EST000246,Estudiante 246,Administración,Sonsonate,5.61
EST000247,Estudiante 247,Contaduría,San Miguel,5.72
EST000248,Estudiante 248,Arquitectura,Sonsonate,6.98
EST000249,Estudiante 249,Ingeniería en Sistemas,La Libertad,6.66
EST000250,Estudiante 250,Ingeniería en Sistemas,La Libertad,9.96
EST000251,Estudiante 251,Ingeniería Industrial,Santa Ana,5.24
EST000252,Estudiante 252,Contaduría,Santa Ana,6.6
EST000253,Estudiante 253,Administración,Santa Ana,9.07
EST000254,Estudiante 254,Administración,San Miguel,8.1
EST000255,Estudiante 255,Contaduría,Sonsonate,6.6
EST000256,Estudiante 256,Arquitectura,La Libertad,7.91
EST000257,Estudiante 257,Administración,San Miguel,7.82
EST000258,Estudiante 258,Contaduría,San Miguel,9.46
EST000259,Estudiante 259,Ingeniería Industrial,San Salvador,5.43
EST000260,Estudiante 260,Contaduría,San Salvador,8.85
EST000261,Estudiante 261,Ingeniería en Sistemas,Sonsonate,7.04
EST000262,Estudiante 262,Ingeniería Industrial,Sonsonate,8.38
EST000263,Estudiante 263,Contaduría,Sonsonate,7.59
EST000264,Estudiante 264,Ingeniería Industrial,Sonsonate,9.46
EST000265,Estudiante 265,Contaduría,Sonsonate,5.4
EST000266,Estudiante 266,Ingeniería en Sistemas,Santa Ana,9.36
EST000267,Estudiante 267,Ingeniería Industrial,Sonsonate,9.7
EST000268,Estudiante 268,Administración,Sonsonate,6.73
EST000269,Estudiante 269,Ingeniería en Sistemas,Santa Ana,7.29
EST000270,Estudiante 270,Ingeniería Industrial,Santa Ana,7.38
EST000271,Estudiante 271,Arquitectura,Santa Ana,9.12
EST000272,Estudiante 272,Ingeniería en Sistemas,Santa Ana,6.16
EST000273,Estudiante 273,Contaduría,San Miguel,6.14
EST000274,Estudiante 274,Ingeniería en Sistemas,Santa Ana,5.26
EST000275,Estudiante 275,Ingeniería Industrial,Sonsonate,5.23
EST000276,Estudiante 276,Contaduría,La Libertad,7.89
EST000277,Estudiante 277,Arquitectura,San Salvador,5.01
EST000278,Estudiante 278,Arquitectura,San Miguel,5.2
EST000279,Estudiante 279,Ingeniería en Sistemas,Sonsonate,5.63
EST000280,Estudiante 280,Ingeniería Industrial,Santa Ana,7.84
EST000281,Estudiante 281,Ingeniería en Sistemas,La Libertad,5.43
EST000282,Estudiante 282,Ingeniería Industrial,San Miguel,8.48
EST000283,Estudiante 283,Arquitectura,San Salvador,6.85
EST000284,Estudiante 284,Ingeniería Industrial,La Libertad,9.33
EST000285,Estudiante 285,Administración,Sonsonate,8.78
EST000286,Estudiante 286,Ingeniería Industrial,Sonsonate,5.6
EST000287,Estudiante 287,Administración,San Salvador,8.37
EST000288,Estudiante 288,Administración,Santa Ana,9.75
EST000289,Estudiante 289,Contaduría,San Salvador,6.18
EST000290,Estudiante 290,Administración,Sonsonate,7.51
EST000291,Estudiante 291,Contaduría,Santa Ana,7.24
EST000292,Estudiante 292,Arquitectura,Sonsonate,5.78
EST000293,Estudiante 293,Ingeniería en Sistemas,San Miguel,6.88
EST000294,Estudiante 294,Ingeniería Industrial,Santa Ana,7.47
EST000295,Estudiante 295,Contaduría,San Salvador,6.86
EST000296,Estudiante 296,Administración,Santa Ana,7.41
EST000297,Estudiante 297,Arquitectura,San Miguel,6.57
EST000298,Estudiante 298,Administración,San Miguel,5.46
EST000299,Estudiante 299,Ingeniería Industrial,Sonsonate,7.73
EST000300,Estudiante 300,Ingeniería Industrial,La Libertad,8.39
EST000301,Estudiante 301,Ingeniería Industrial,San Salvador,6.68
EST000302,Estudiante 302,Administración,La Libertad,7.06
EST000303,Estudiante 303,Ingeniería Industrial,Santa Ana,8.37
EST000304,Estudiante 304,Ingeniería en Sistemas,San Miguel,5.66
EST000305,Estudiante 305,Contaduría,Santa Ana,7.86
EST000306,Estudiante 306,Ingeniería en Sistemas,Sonsonate,6.63
EST000307,Estudiante 307,Arquitectura,Sonsonate,7.81
EST000308,Estudiante 308,Administración,San Miguel,5.8
EST000309,Estudiante 309,Ingeniería Industrial,San Salvador,8.25
EST000310,Estudiante 310,Ingeniería en Sistemas,San Miguel,8.12
EST000311,Estudiante 311,Administración,Santa Ana,6.18
EST000312,Estudiante 312,Arquitectura,San Salvador,8.35
EST000313,Estudiante 313,Administración,Santa Ana,5.72
EST000314,Estudiante 314,Arquitectura,La Libertad,6.7
EST000315,Estudiante 315,Ingeniería Industrial,San Miguel,8.29
EST000316,Estudiante 316,Arquitectura,Santa Ana,8.42
EST000317,Estudiante 317,Ingeniería Industrial,San Salvador,6.86
EST000318,Estudiante 318,Arquitectura,San Salvador,8.03
EST000319,Estudiante 319,Contaduría,Sonsonate,6.55
EST000320,Estudiante 320,Ingeniería en Sistemas,Santa Ana,5.62
EST000321,Estudiante 321,Administración,San Salvador,8.59
EST000322,Estudiante 322,Ingeniería Industrial,Santa Ana,9.1
EST000323,Estudiante 323,Administración,La Libertad,8.45
EST000324,Estudiante 324,Ingeniería en Sistemas,Santa Ana,8.48
EST000325,Estudiante 325,Administración,Santa Ana,6.14
EST000326,Estudiante 326,Ingeniería en Sistemas,Santa Ana,6.44
EST000327,Estudiante 327,Ingeniería Industrial,Santa Ana,8.5
EST000328,Estudiante 328,Ingeniería Industrial,Santa Ana,5.55
EST000329,Estudiante 329,Ingeniería Industrial,Sonsonate,7.24
EST000330,Estudiante 330,Administración,San Miguel,8.31
EST000331,Estudiante 331,Contaduría,Sonsonate,5.68
EST000332,Estudiante 332,Administración,San Miguel,6.82
EST000333,Estudiante 333,Ingeniería en Sistemas,Sonsonate,9.56
EST000334,Estudiante 334,Contaduría,La Libertad,9.52
EST000335,Estudiante 335,Administración,La Libertad,9.56
EST000336,Estudiante 336,Ingeniería Industrial,San Salvador,6.42
EST000337,Estudiante 337,Arquitectura,San Miguel,5.33
EST000338,Estudiante 338,Contaduría,San Miguel,7.66
EST000339,Estudiante 339,Arquitectura,Sonsonate,5.21
EST000340,Estudiante 340,Ingeniería en Sistemas,San Salvador,9.15
EST000341,Estudiante 341,Arquitectura,Santa Ana,5.83
EST000342,Estudiante 342,Ingeniería Industrial,La Libertad,8.95
EST000343,Estudiante 343,Ingeniería en Sistemas,Sonsonate,7.37
EST000344,Estudiante 344,Ingeniería Industrial,La Libertad,9.94
EST000345,Estudiante 345,Contaduría,La Libertad,5.68
EST000346,Estudiante 346,Arquitectura,San Salvador,6.9
EST000347,Estudiante 347,Administración,San Miguel,5.99
EST000348,Estudiante 348,Ingeniería Industrial,Sonsonate,8.75
EST000349,Estudiante 349,Administración,San Miguel,9.81
EST000350,Estudiante 350,Arquitectura,Sonsonate,9.52
EST000351,Estudiante 351,Arquitectura,Sonsonate,5.01
EST000352,Estudiante 352,Ingeniería en Sistemas,Sonsonate,5.98
EST000353,Estudiante 353,Contaduría,San Miguel,8.02
EST000354,Estudiante 354,Ingeniería en Sistemas,La Libertad,5.64
EST000355,Estudiante 355,Contaduría,La Libertad,9.08
EST000356,Estudiante 356,Arquitectura,San Miguel,9.3
EST000357,Estudiante 357,Arquitectura,San Miguel,5.13
EST000358,Estudiante 358,Contaduría,San Salvador,8.58
EST000359,Estudiante 359,Ingeniería en Sistemas,Sonsonate,7.31
EST000360,Estudiante 360,Ingeniería en Sistemas,San Miguel,6.67
EST000361,Estudiante 361,Arquitectura,Sonsonate,8.24
EST000362,Estudiante 362,Contaduría,San Miguel,8.17
EST000363,Estudiante 363,Administración,La Libertad,5.94
EST000364,Estudiante 364,Arquitectura,San Salvador,5.51
EST000365,Estudiante 365,Arquitectura,La Libertad,7.44
EST000366,Estudiante 366,Ingeniería en Sistemas,Sonsonate,7.17
EST000367,Estudiante 367,Ingeniería en Sistemas,Sonsonate,5.79
EST000368,Estudiante 368,Administración,Santa Ana,7.63
EST000369,Estudiante 369,Ingeniería en Sistemas,San Salvador,6.72
EST000370,Estudiante 370,Administración,La Libertad,6.24
EST000371,Estudiante 371,Contaduría,San Salvador,6.9
EST000372,Estudiante 372,Administración,Santa Ana,8.42
EST000373,Estudiante 373,Ingeniería en Sistemas,San Miguel,6.4
EST000374,Estudiante 374,Arquitectura,San Miguel,9.43
EST000375,Estudiante 375,Administración,Santa Ana,6.28
EST000376,Estudiante 376,Ingeniería Industrial,San Miguel,9.02
EST000377,Estudiante 377,Contaduría,Sonsonate,7.02
EST000378,Estudiante 378,Administración,La Libertad,8.68
EST000379,Estudiante 379,Contaduría,La Libertad,5.61
EST000380,Estudiante 380,Arquitectura,Sonsonate,7.0
EST000381,Estudiante 381,Ingeniería en Sistemas,San Salvador,6.81
EST000382,Estudiante 382,Ingeniería en Sistemas,Santa Ana,8.5
EST000383,Estudiante 383,Contaduría,Sonsonate,9.91
EST000384,Estudiante 384,Administración,San Miguel,5.91
EST000385,Estudiante 385,Ingeniería Industrial,San Salvador,7.22
EST000386,Estudiante 386,Administración,Sonsonate,7.13
EST000387,Estudiante 387,Ingeniería Industrial,Santa Ana,9.46
EST000388,Estudiante 388,Contaduría,San Salvador,6.24
EST000389,Estudiante 389,Contaduría,San Salvador,7.22
EST000390,Estudiante 390,Administración,San Miguel,7.62
EST000391,Estudiante 391,Arquitectura,San Miguel,7.33
EST000392,Estudiante 392,Administración,Sonsonate,8.74
EST000393,Estudiante 393,Ingeniería Industrial,San Miguel,8.6
EST000394,Estudiante 394,Administración,Santa Ana,6.59
EST000395,Estudiante 395,Contaduría,Sonsonate,7.84
EST000396,Estudiante 396,Ingeniería Industrial,San Salvador,8.89
EST000397,Estudiante 397,Contaduría,Sonsonate,6.09
EST000398,Estudiante 398,Arquitectura,Santa Ana,7.68
EST000399,Estudiante 399,Contaduría,San Salvador,8.7
EST000400,Estudiante 400,Arquitectura,San Salvador,6.24
EST000401,Estudiante 401,Arquitectura,Santa Ana,8.36
EST000402,Estudiante 402,Ingeniería en Sistemas,San Salvador,9.4
EST000403,Estudiante 403,Ingeniería Industrial,Santa Ana,8.65
EST000404,Estudiante 404,Contaduría,La Libertad,5.83
EST000405,Estudiante 405,Arquitectura,San Miguel,6.88
EST000406,Estudiante 406,Ingeniería en Sistemas,Sonsonate,7.5
EST000407,Estudiante 407,Contaduría,San Salvador,6.92
EST000408,Estudiante 408,Arquitectura,San Salvador,6.65
EST000409,Estudiante 409,Administración,La Libertad,6.83
EST000410,Estudiante 410,Administración,San Salvador,6.02
EST000411,Estudiante 411,Ingeniería Industrial,San Miguel,8.46
EST000412,Estudiante 412,Administración,San Salvador,6.35
EST000413,Estudiante 413,Contaduría,Sonsonate,8.31
EST000414,Estudiante 414,Administración,La Libertad,7.17
EST000415,Estudiante 415,Arquitectura,La Libertad,6.99
EST000416,Estudiante 416,Administración,San Salvador,5.67
EST000417,Estudiante 417,Contaduría,San Miguel,9.31
EST000418,Estudiante 418,Arquitectura,Santa Ana,5.51
EST000419,Estudiante 419,Contaduría,San Salvador,7.5
EST000420,Estudiante 420,Contaduría,San Salvador,5.11
EST000421,Estudiante 421,Ingeniería Industrial,Santa Ana,5.44
EST000422,Estudiante 422,Administración,La Libertad,7.8
EST000423,Estudiante 423,Ingeniería en Sistemas,La Libertad,5.14
EST000424,Estudiante 424,Ingeniería Industrial,San Miguel,9.35
EST000425,Estudiante 425,Ingeniería Industrial,Sonsonate,8.78
EST000426,Estudiante 426,Ingeniería Industrial,La Libertad,8.58
EST000427,Estudiante 427,Ingeniería en Sistemas,San Miguel,9.24
EST000428,Estudiante 428,Ingeniería Industrial,Santa Ana,6.57
EST000429,Estudiante 429,Administración,San Salvador,9.13
EST000430,Estudiante 430,Ingeniería en Sistemas,San Salvador,9.47
EST000431,Estudiante 431,Administración,San Miguel,9.14
EST000432,Estudiante 432,Contaduría,San Salvador,8.72
EST000433,Estudiante 433,Arquitectura,La Libertad,8.18
EST000434,Estudiante 434,Contaduría,San Miguel,5.38
EST000435,Estudiante 435,Ingeniería Industrial,La Libertad,6.07
EST000436,Estudiante 436,Arquitectura,San Miguel,7.03
EST000437,Estudiante 437,Arquitectura,Sonsonate,7.3
EST000438,Estudiante 438,Administración,La Libertad,7.02
EST000439,Estudiante 439,Contaduría,Santa Ana,5.09
EST000440,Estudiante 440,Ingeniería Industrial,San Salvador,6.82
EST000441,Estudiante 441,Contaduría,San Miguel,9.51
